City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dongying,37.4335,118.6689,89.98,62,64,4.9,CN,1659623041
Annau,37.9022,58.5045,94.69,17,75,6.91,TM,1659623042
Mayo,63.5927,-135.8961,55.4,76,75,2.3,CA,1659623043
Geraldton,-28.7704,114.6147,53.76,87,75,5.75,AU,1659623043
Grande Rivière Sud Est,-20.2907,57.7852,72.1,73,40,11.5,MU,1659623044
Adrar,27.8734,-0.2875,115.02,9,0,4.61,DZ,1659623045
Port Augusta,-32.4909,137.764,50.9,68,4,6.82,AU,1659623045
Pucallpa,-8.3821,-74.5388,76.98,94,75,0.0,PE,1659623046
Zhigansk,66.7656,123.3741,50.72,55,93,19.48,RU,1659623046
Anchorage,61.22,-149.89,55.98,86,40,4.61,US,1659622593
Kayes,14.4434,-11.4379,88.54,55,60,1.54,ML,1659623047
Minas de Marcona,-15.2155,-75.083,53.28,78,64,13.27,PE,1659623048
Oranjemund,-28.5519,16.4284,57.7,72,0,13.71,NA,1659623049
Voh,-20.95,164.6872,70.45,92,6,4.12,NC,1659623049
Municipio de Champerico,14.2937,-91.9118,81.16,81,68,4.23,GT,1659623050
Maqat,47.6472,53.3505,93.11,20,32,12.03,KZ,1659623051
Pinckney,42.4348,-83.9849,75.31,97,100,7.72,US,1659623051
Piteå,65.3135,21.4899,62.71,58,100,8.59,SE,1659623052
Tanzania,-6.0989,34.9561,80.78,27,77,5.41,TZ,1659623052
Aquiraz,-3.9063,-38.3875,85.33,68,53,10.69,BR,1659623053
Hasaki,35.753,140.8201,72.28,94,100,13.56,JP,1659623054
Igarka,67.4566,86.5308,65.39,62,67,3.36,RU,1659623054
Wuhai,39.6898,106.8204,92.21,34,91,7.09,CN,1659623055
Banda Aceh,5.5528,95.3193,80.31,76,100,11.63,ID,1659623055
Victoria,48.4283,-123.365,59.77,77,75,25.32,CA,1659622802
Mezen',65.844,44.2441,73.62,44,86,10.4,RU,1659623057
Sørland,67.666,12.6919,58.86,76,75,14.97,NO,1659623057
Dolores,38.1392,-0.7693,97.81,44,0,5.99,ES,1659623058
Kitimat,54.0536,-128.6541,53.98,27,100,1.1,CA,1659623059
Muros,40.6781,8.6173,84.65,42,18,10.45,IT,1659623059
Kholtoson,50.2954,103.3145,58.33,88,96,1.9,RU,1659623060
Tuatapere,-46.1323,167.6908,54.0,85,100,7.99,NZ,1659623060
Måløy,61.9875,5.1352,54.86,70,100,11.72,NO,1659623061
Kinkala,-4.3566,14.7588,93.02,30,28,7.02,CG,1659623062
Muli,3.4719,73.5475,80.83,79,100,18.01,MV,1659623062
Stromness,58.9614,-3.2994,57.13,78,87,13.0,GB,1659623063
Colac,-38.34,143.5859,51.08,70,47,16.42,AU,1659623063
São Filipe,14.8953,-24.4969,77.77,82,99,5.26,CV,1659623064
Hentiesbaai,-22.113,14.2882,59.68,79,18,14.34,NA,1659623065
Markala,13.6778,-6.1585,91.04,46,90,7.02,ML,1659623065
Huntsville,34.7298,-86.5859,82.81,76,40,8.05,US,1659622599
Provideniya,64.4238,-173.2275,49.3,90,100,11.45,RU,1659623066
Gravdal,68.1189,13.5593,57.42,72,75,17.27,NO,1659623067
Vanavara,60.3452,102.2809,51.89,90,73,3.91,RU,1659623067
Obuasi,6.2115,-1.6894,75.25,71,100,4.27,GH,1659623068
Houma,29.5958,-90.7195,86.0,86,0,0.0,US,1659623069
Terrace,54.5173,-128.5995,53.51,93,75,9.22,CA,1659623069
Porteirinha,-15.7421,-43.0286,82.6,28,38,6.49,BR,1659623070
Meadow Lake,54.1303,-108.4351,58.98,94,100,11.5,CA,1659623070
Rabo de Peixe,37.7943,-25.5833,76.28,83,40,11.5,PT,1659623071
Sabang,5.8927,95.3226,83.03,76,99,17.49,ID,1659623072
Rāmpur,31.5477,77.5357,61.81,95,94,0.89,IN,1659623072
Hirara,24.8032,125.303,85.08,74,77,11.92,JP,1659623073
Kupang,-10.1632,123.6018,72.34,83,63,7.45,ID,1659623074
Pavelets,53.8761,39.1723,80.37,49,100,5.86,RU,1659623074
Kahului,20.8894,-156.4727,76.78,68,0,3.0,US,1659623075
Orissaare vald,58.4681,23.0059,77.9,58,35,9.04,EE,1659623076
Berlevåg,70.799,29.1505,62.01,63,75,10.36,NO,1659623076
São Gotardo,-19.3169,-46.0477,77.18,33,98,7.76,BR,1659623077
Paita,-5.091,-81.1061,65.57,76,25,11.81,PE,1659623077
Makaha,21.4729,-158.2107,74.32,78,0,4.92,US,1659623078
Ambodifotatra,-16.9996,49.8526,72.55,73,22,14.97,MG,1659623079
Bra,44.6977,7.8543,97.84,34,0,6.85,IT,1659623079
Belaya Gora,68.537,146.1873,45.09,66,89,1.16,RU,1659623080
Tolaga Bay,-37.892,178.3188,48.52,91,0,3.06,NZ,1659623081
Hughenden,-20.8629,144.2526,74.88,55,0,3.89,AU,1659623081
Pokhara,28.2095,83.9914,74.68,94,83,0.81,NP,1659623082
Thanh Hoa,19.8117,105.7746,81.18,88,99,3.85,VN,1659623082
Adré,13.4665,22.1977,83.77,54,87,13.8,TD,1659623083
Lower Juba,0.5149,42.073,86.2,37,89,19.6,SO,1659623084
Kars,40.6077,43.0948,82.85,30,40,10.36,TR,1659623084
Daru,-9.0699,143.21,78.19,90,87,11.99,PG,1659623085
Mazamitla,19.9163,-103.02,57.7,91,57,0.78,MX,1659623085
Kamojimachō-jōgejima,34.0718,134.3566,84.02,80,0,6.51,JP,1659623086
Kampene,-3.5943,26.6683,92.53,24,55,3.09,CD,1659623087
Labuan,5.277,115.2434,79.16,94,40,0.0,MY,1659623087
Chanute,37.6792,-95.4572,77.45,88,75,12.66,US,1659622635
Kangaba,11.681,-8.2387,78.62,75,100,6.71,ML,1659623088
Soligalich,59.0778,42.2862,72.41,72,100,1.68,RU,1659623089
Ouro Preto do Oeste,-10.7167,-62.2602,89.44,43,87,3.96,BR,1659623089
Sambava,-14.255,50.1557,70.93,81,56,11.54,MG,1659623090
Cayenne,4.9371,-52.3258,87.82,11,75,6.91,GF,1659622970
Kalmunai,7.4132,81.8269,82.98,63,100,11.68,LK,1659623091
Lüderitz,-26.65,15.1573,61.81,67,0,17.74,NA,1659623092
Chake Chake,-5.244,39.7685,77.52,63,1,11.9,TZ,1659623092
Byron Bay,-28.6483,153.6178,62.94,89,24,16.91,AU,1659623093
Nome,64.5011,-165.4064,55.47,94,100,9.22,US,1659623093
Partido de Tigre,-34.4227,-58.5809,47.28,84,100,9.22,AR,1659623094
Mordoviya Republic,54.6207,43.876,79.5,42,62,9.04,RU,1659623095
Tsiombe,-25.3185,45.4841,74.3,59,26,13.15,MG,1659623095
Pangai,-19.8155,-174.3541,76.95,77,100,18.07,TO,1659623096
Senanga,-16.1041,23.3018,88.25,14,0,7.07,ZM,1659623097
Puerto Rico,18.2214,-66.4133,80.37,63,100,8.5,PR,1659623097
Omoku,5.341,6.4928,82.09,63,95,5.44,NG,1659623098
Yendi,9.4466,-0.0035,77.76,85,100,6.58,GH,1659623099
Río Grande,-53.7857,-67.7016,37.44,100,100,6.91,AR,1659623099
Olho d’Agua,-2.9225,-39.9152,85.33,53,20,14.25,BR,1659623100
To`rtko`l Shahri,41.5544,61.0002,93.29,17,100,13.44,UZ,1659623100
Mariehamn,60.1024,19.9413,71.49,73,0,13.8,AX,1659623101
Thākurganj,26.4276,88.13,81.41,87,100,2.33,IN,1659623102
Nortelândia,-14.4519,-56.8044,93.96,19,5,5.39,BR,1659623102
Sakrand,26.136,68.2735,94.95,52,20,6.91,PK,1659623103
Nanga Eboko,4.6666,12.3731,79.84,62,98,2.75,CM,1659623103
Esil,51.9602,66.4089,75.33,41,16,12.55,KZ,1659623104
Tabas,33.596,56.9247,104.22,11,0,6.91,IR,1659623105
Lorengau,-2.033,147.2789,81.41,81,100,7.87,PG,1659623106
Nola,40.9211,14.5327,92.39,44,26,8.01,IT,1659623106
West Lincoln,40.8089,-96.7078,76.24,72,0,8.05,US,1659623107
Taltal,-25.4078,-70.4858,64.18,51,60,4.92,CL,1659623107
Ammāpettai,10.7425,79.3562,78.94,82,100,8.21,IN,1659623108
Abangay,10.9802,122.6402,76.19,95,100,5.17,PH,1659623109
Razdol’noye,43.5889,39.7737,80.89,67,1,9.93,RU,1659623109
Belo Oriente,-19.2233,-42.4807,71.42,44,9,4.88,BR,1659623110
Republic of South Sudan,4.7942,31.6471,84.34,60,84,3.38,SS,1659623111
Channel-Port aux Basques,47.5949,-59.1325,67.19,77,100,6.42,CA,1659623111
Virden,49.8485,-100.9323,63.48,62,9,12.06,CA,1659623112
Vung Tau,10.3486,107.0765,80.56,84,100,15.12,VN,1659623112
Sālūmbar,24.139,74.0462,83.37,78,100,1.5,IN,1659623113
Kushima,31.465,131.2283,78.96,92,6,5.66,JP,1659623114
Alice Springs,-23.6984,133.8813,58.55,63,40,5.75,AU,1659623114
Newcastle upon Tyne,54.9738,-1.6132,70.27,45,20,16.11,GB,1659623115
Kloulklubed,7.0415,134.2565,73.72,71,100,11.77,PW,1659623115
Qui Nhon,13.7704,109.2327,81.82,77,68,2.95,VN,1659623116
Togur,58.3583,82.8297,62.24,66,29,6.6,RU,1659623117
Maragogi,-9.0118,-35.2225,79.29,71,27,14.12,BR,1659623118
La Victoria,1.807,-75.8885,72.01,75,53,1.83,CO,1659623118
Klyuchi,56.3182,160.8422,56.75,78,98,3.98,RU,1659623119
Quito,-0.2202,-78.5123,56.03,72,75,3.44,EC,1659623119
Manoel Urbano,-8.8388,-69.2619,81.05,75,100,1.48,BR,1659623120
Salamanca,40.9652,-5.664,95.61,12,0,15.01,ES,1659623121
Garh Maharaja,30.8335,71.9037,99.82,37,51,4.81,PK,1659623121
Kul'dur,49.2025,131.6249,67.62,97,100,3.96,RU,1659623122
Gemeente Veere,51.5564,3.5773,80.02,64,0,11.5,NL,1659623123
Okhotsk,59.3644,143.2411,57.56,96,99,5.1,RU,1659623123
Rawson,-43.2991,-65.1057,46.15,46,52,25.39,AR,1659623124
Ayutla de los Libres,16.9875,-99.2589,73.4,86,0,3.33,MX,1659623124
Payakumbuh,-0.225,100.6318,71.2,95,100,2.82,ID,1659623125
Imeni Tsyurupy,55.5204,38.7063,85.95,46,100,6.64,RU,1659623126
Mataram,-8.5838,116.1069,74.52,85,30,8.41,ID,1659623126
Lagos,6.4551,3.3942,84.43,65,75,6.91,NG,1659623127
Anloga,5.7936,0.8985,76.05,75,97,14.61,GH,1659623128
Vanimo,-2.6848,141.3009,78.06,87,100,3.38,PG,1659623128
Cajabamba,-7.6239,-78.0464,58.12,61,68,4.34,PE,1659623129
Karasjok,69.4721,25.5183,60.94,87,100,3.6,NO,1659623130
Tangkak,2.267,102.54,78.71,84,99,3.0,MY,1659623130
Druzhba,52.0477,33.9429,74.17,76,100,10.96,UA,1659623131
Havre-St-Pierre,50.2464,-63.6004,64.71,82,100,4.61,CA,1659623132
Tankhoy,51.5543,105.1152,60.44,84,100,4.56,RU,1659623132
Acaraú,-2.887,-40.1195,85.64,53,18,15.21,BR,1659623133
Majene,-3.5459,118.9607,77.49,78,44,10.0,ID,1659623133
Naivasha,-0.4982,36.3254,64.96,65,100,4.79,KE,1659623134
Tabuk,28.4013,36.567,105.85,15,0,8.05,SA,1659623135
Tablelands,-17.1295,143.9242,69.69,69,6,4.03,AU,1659623135
Boluka,-0.2837,20.8826,90.05,45,55,2.62,CD,1659623136
Umm Kaddadah,13.6002,26.6893,94.68,30,88,7.47,SD,1659623136
Capão da Canoa,-29.7508,-50.0211,63.09,90,100,5.41,BR,1659623137
Novoagansk,61.9459,76.6737,71.65,51,29,2.68,RU,1659623138
Yeppoon,-23.1348,150.7437,60.82,92,1,4.14,AU,1659623138
Nokaneng,-19.6622,22.1901,87.78,15,0,3.67,BW,1659623139
Beira,-19.8287,34.8418,75.22,69,20,12.66,MZ,1659623139
Sorong,-0.8634,131.2545,76.42,91,100,2.62,ID,1659623140
Troutdale,45.5318,-122.3912,60.89,82,100,3.0,US,1659622714
Moutsamoudou,-12.1688,44.3943,75.0,72,8,11.23,KM,1659623141
Gharghoda,22.1674,83.3485,82.89,73,97,3.85,IN,1659623142
Dadamtu,43.9052,81.2748,85.95,23,70,11.68,CN,1659623142
Mogadishu,2.0349,45.3419,77.49,78,52,19.89,SO,1659623143
Muli,2.9221,73.5815,81.27,77,98,15.64,MV,1659623143
Kyotera,-0.6437,31.5333,79.14,42,21,13.58,UG,1659623144
Khor,47.8826,134.9609,68.16,95,2,6.76,RU,1659623145
Smidovich,48.5957,133.8138,68.32,95,70,8.46,RU,1659623145
Volga,42.8046,-91.5411,74.95,71,0,9.66,US,1659623146
Höganäs,56.2,12.5667,89.98,46,98,15.35,SE,1659623147
Mullens,37.5376,-81.3793,77.54,57,0,1.3,US,1659623147
Minna,9.6187,6.5476,82.69,69,40,8.05,NG,1659623148
Sanandij,35.3126,46.9979,98.85,7,0,9.22,IR,1659623148
Guayabal,5.0323,-74.8832,79.63,76,100,1.61,CO,1659623149
Ust'-Kamchatsk,56.24,162.537,56.57,83,62,6.22,RU,1659623150
Plouzané,48.3817,-4.6212,70.03,54,40,11.5,FR,1659623150
